Product_id,Product Name,Price,Rating,Ranking,Ratings_count,Reviews_count,Brand,SK_name
P1,Atomberg SL 1 Smart Door Lock | 6 Ways Unlocking | Fingerprint | PIN | OTP | NFC Card | Atomberg Home App (Data Stored in India)| Key | 5 Stainless Steel Bolt | 2 Year Warranty by Atomberg (Rose Gold),16189,4.3,1,112,53,Atomberg, SL 1 Smart Door Lock | 6 Ways Unlocking | Fingerprint | PIN | OTP | NFC Card |  Home App (Data Stored in India)| Key | 5 Stainless Steel Bolt | 2 Year Warranty by  (Rose Gold)
P2,Atomberg Azhero Smart Door Lock | 6 Ways Unlocking | Fingerprint | PIN | Remote OTP | NFC Card | Atomberg App (Data Stored in India) | Key | 2 Stainless Steel Bolt | 2 Year Warranty (Rose Gold),10899,5,2,2,2,Atomberg, Azhero Smart Door Lock | 6 Ways Unlocking | Fingerprint | PIN | Remote OTP | NFC Card |  App (Data Stored in India) | Key | 2 Stainless Steel Bolt | 2 Year Warranty (Rose Gold)
P3,QUBO Smart Door Lock Essential from Hero Group | 6-Way Unlocking | Fingerprint | Pincode | RFID Card | Bluetooth Mobile App | Mechanical Key | OTP Access | 1 Year Brand Warranty | (Copper),9464,4.2,3,339,268,QUBO, Smart Door Lock Essential from Hero Group | 6-Way Unlocking | Fingerprint | Pincode | RFID Card | Bluetooth Mobile App | Mechanical Key | OTP Access | 1 Year Brand Warranty | (Copper)
P4,QUBO Smart Door Lock Essential from Hero Group | 6-Way Unlocking | Fingerprint | Pincode | RFID Card | Bluetooth Mobile App | Mechanical Key | OTP Access | 1 Year Brand Warranty | (Black),8937,4.4,4,727,594,QUBO, Smart Door Lock Essential from Hero Group | 6-Way Unlocking | Fingerprint | Pincode | RFID Card | Bluetooth Mobile App | Mechanical Key | OTP Access | 1 Year Brand Warranty | (Black)
P5,"LAVNA Smart Fingerprint Padlock with 2 way access Fingerprint n Mobile App access, IP67 waterproof suitable for bags, suitcase, bike, garage door, cabinet, warehouse doors and shutters",1899,4.2,5,8,6,LAVNA," Smart Fingerprint Padlock with 2 way access Fingerprint n Mobile App access, IP67 waterproof suitable for bags, suitcase, bike, garage door, cabinet, warehouse doors and shutters"
P6,QUBO Smart Door Lock Essential from Hero Group | 6-Way Unlocking | Fingerprint | Pincode | RFID Card | Bluetooth Mobile App | Mechanical Key | OTP Access | 1 Year Brand Warranty | (Black),8937,4.4,6,727,594,QUBO, Smart Door Lock Essential from Hero Group | 6-Way Unlocking | Fingerprint | Pincode | RFID Card | Bluetooth Mobile App | Mechanical Key | OTP Access | 1 Year Brand Warranty | (Black)
P7,"LAVNA Smart Door Lock LA16 with Fingerprint, Bluetooth Mobile App, PIN, OTP, RFID Card and Manual Key Access for Wooden Doors (Black, Bluetooth)",9499,4.2,7,234,141,LAVNA," Smart Door Lock LA16 with Fingerprint, Bluetooth Mobile App, PIN, OTP, RFID Card and Manual Key Access for Wooden Doors (Black, Bluetooth)"
P8,"LAVNA LS10 Smart Cabinet, Drawer, Waredrobes Door Lock with Fingerprint Access, Fully Secured complete Metal Body lock (Black)",2299,4,8,63,24,LAVNA," LS10 Smart Cabinet, Drawer, Waredrobes Door Lock with Fingerprint Access, Fully Secured complete Metal Body lock (Black)"
P9,QUBO Smart Door Lock Essential from Hero Group | 6-Way Unlocking | Fingerprint | Pincode | RFID Card | Bluetooth Mobile App | Mechanical Key | OTP Access | 1 Year Brand Warranty | (Copper),9464,4.2,9,339,268,QUBO, Smart Door Lock Essential from Hero Group | 6-Way Unlocking | Fingerprint | Pincode | RFID Card | Bluetooth Mobile App | Mechanical Key | OTP Access | 1 Year Brand Warranty | (Copper)
P10,"LAVNA LA15 Smart Digital Door Lock with Fingerprint, Mobile App and Manual Key Access, Suitable for 28 mm to 55mm wooden Door fit with Right n Left Door Handle (Black)",3407,4.3,10,31,23,LAVNA," LA15 Smart Digital Door Lock with Fingerprint, Mobile App and Manual Key Access, Suitable for 28 mm to 55mm wooden Door fit with Right n Left Door Handle (Black)"
